REP,NCLUSTERS,NSAMPLES,NMUTS,TAU,H2,PRIOR,COV,LIK,ARI,AMI,FMI,RMSE
1,2,3,100,100,20,GP0,ExpQ,Bin,1.0,1.0,1.0,5.5134305735316635
1,2,3,100,100,20,GP0,ExpQ,BBin,0.0,2.3587507931702527e-15,0.7273863547599096,4.9065805551265305
1,2,6,25,1,1,Flat,Exp,Bin,0.555735056542811,0.5161544675091728,0.810140446727799,0.5976658501857838
1,2,6,25,1,1,Flat,Exp,BBin,0.0,0.0,0.7211102550927979,0.4408683667709274
1,2,6,25,1,1,GP0,Exp,Bin,0.555735056542811,0.5161544675091728,0.810140446727799,0.5390617277009654
1,2,6,25,1,1,GP0,Exp,BBin,0.0,0.0,0.7211102550927979,0.47104582975433595
1,2,6,25,1,1,GP0,ExpQ,Bin,0.555735056542811,0.5161544675091728,0.810140446727799,0.5514990366981547
1,2,6,25,1,1,GP0,ExpQ,BBin,0.0,0.0,0.7211102550927979,0.4553983262877329
1,2,6,25,1,10,Flat,Exp,Bin,0.3333333333333333,0.2918102226430591,0.6600014029165785,2.9086241981544787
1,2,6,25,1,10,Flat,Exp,BBin,0.0,4.948902429398244e-16,0.7071067811865476,2.93683377643947
1,2,6,25,1,10,GP0,Exp,Bin,0.3333333333333333,0.24937212004703008,0.6622226308314962,2.8630105109232296
1,2,6,25,1,10,GP0,Exp,BBin,0.0,4.948902429398244e-16,0.7071067811865476,2.874397977452718
1,2,6,25,1,10,GP0,ExpQ,Bin,0.24,0.16410915568039527,0.6200000000000001,2.927831444364125
1,2,6,25,1,10,GP0,ExpQ,BBin,0.0,4.948902429398244e-16,0.7071067811865476,2.8744148538255
1,2,6,25,1,20,Flat,Exp,Bin,1.0,1.0,1.0,1.3637654017459937
1,2,6,25,1,20,Flat,Exp,BBin,0.0,0.0,0.7211102550927979,1.2470535400242446
1,2,6,25,1,20,GP0,Exp,Bin,1.0,1.0,1.0,1.373057006811656
1,2,6,25,1,20,GP0,Exp,BBin,1.0,1.0,1.0,1.3474975511494791
1,2,6,25,1,20,GP0,ExpQ,Bin,1.0,1.0,1.0,1.365883530199035
1,2,6,25,1,20,GP0,ExpQ,BBin,1.0,1.0,1.0,1.352786414527421
1,2,6,25,10,1,Flat,Exp,Bin,0.8397435897435898,0.7898520407213285,0.9166666666666666,1.1993333306156966
1,2,6,25,10,1,Flat,Exp,BBin,0.0,0.0,0.6928203230275509,1.1284394968563887
1,2,6,25,10,1,GP0,Exp,Bin,0.8397435897435898,0.7898520407213285,0.9166666666666666,1.1666438965232597
1,2,6,25,10,1,GP0,Exp,BBin,0.0,0.0,0.6928203230275509,1.0989047218741201
1,2,6,25,10,1,GP0,ExpQ,Bin,0.8397435897435898,0.7898520407213285,0.9166666666666666,1.145808452080578
1,2,6,25,10,1,GP0,ExpQ,BBin,0.0,0.0,0.6928203230275509,1.1047356956937542
1,2,6,25,10,10,Flat,Exp,Bin,1.0,1.0,1.0,5.383382064274885
1,2,6,25,10,10,Flat,Exp,BBin,1.0,1.0,1.0,5.3381823885652215
