PRIOR,COV,LIK,METRIC,MEDIAN,LOW,HIGH
GP1,Mat52,Bin,LOSS,1743.5360121058875,1724.6920303006266,1763.2542636903493
GP1,Mat52,Bin,LOO,3324.1445854537924,1721.62460681107,4926.664564096514
GP1,Mat52,Bin,WAIC,3349.6910493135765,1757.1993235262996,4942.182775100853
GP1,Mat52,Bin,SLH,0.3696737897640978,0.0,0.0
GP1,Mat52,Bin,CHS,20.822890274581393,0.0,0.0
GP1,Mat52,Bin,DBS,1.259501831032789,0.0,0.0
GP1,Mat52,BBin,LPPD,224.26823901694766,210.80891747748558,232.66716852484933
GP1,Mat52,BBin,LOSS,781.0860259103936,773.9773372954402,791.9430918673037
GP1,Mat52,BBin,LOO,1509.1261399099235,1356.21815516742,1662.034124652427
GP1,Mat52,BBin,WAIC,1501.134406556322,1350.5251512727386,1651.7436618399051
GP1,Mat52,BBin,SLH,0.4004135488530366,0.0,0.0
GP1,Mat52,BBin,CHS,15.94626080624014,0.0,0.0
GP1,Mat52,BBin,DBS,0.5863717655495808,0.0,0.0
GP1,ExpQ,Bin,LPPD,-2286.458844090457,-2407.343432055337,-1573.8255801813898
GP1,ExpQ,Bin,LOSS,1805.322377207311,1789.0798710011416,1869.12123529417
GP1,ExpQ,Bin,LOO,3562.2718106176867,1985.5242185237912,5139.019402711582
GP1,ExpQ,Bin,WAIC,3734.1851593337115,2135.355436670475,5333.014881996948
GP1,ExpQ,Bin,SLH,0.16431187665298733,0.0,0.0
GP1,ExpQ,Bin,CHS,6.287801308204547,0.0,0.0
GP1,ExpQ,Bin,DBS,2.2291476122620772,0.0,0.0
GP1,ExpQ,BBin,LPPD,226.27114859804612,213.4456752508233,233.14172431684906
GP1,ExpQ,BBin,LOSS,780.5178492647437,772.9346764835117,791.9038484871917
GP1,ExpQ,BBin,LOO,1478.617500003177,1319.2724907843042,1637.9625092220497
GP1,ExpQ,BBin,WAIC,1474.64099023744,1316.4486224842124,1632.8333579906678
GP1,ExpQ,BBin,SLH,0.5190959118998024,0.0,0.0
