REP,NCLUSTERS,NSAMPLES,NMUTS,TAU,H2,PRIOR,COV,LIK,ARI,AMI,FMI,RMSE
1,2,3,50,10,10,GP0,Exp,BBin,1.0,1.0,1.0,2.6407955288810845
1,2,3,50,10,10,GP0,ExpQ,Bin,1.0,1.0,1.0,2.632028204805001
1,2,3,50,10,10,GP0,ExpQ,BBin,0.0,-1.2873200298016445e-15,0.7021831844254004,2.059861718907175
1,2,3,50,10,20,Flat,Exp,Bin,1.0,1.0,1.0,8.25917077276366
1,2,3,50,10,20,Flat,Exp,BBin,1.0,1.0,1.0,8.184131231547186
1,2,3,50,10,20,GP0,Exp,Bin,1.0,1.0,1.0,8.211986179875012
1,2,3,50,10,20,GP0,Exp,BBin,1.0,1.0,1.0,8.141174228649266
1,2,3,50,10,20,GP0,ExpQ,Bin,1.0,1.0,1.0,8.21178584436252
1,2,3,50,10,20,GP0,ExpQ,BBin,1.0,1.0,1.0,8.167477479107522
1,2,3,50,100,1,Flat,Exp,Bin,1.0,1.0,1.0,1.1119312316951264
1,2,3,50,100,1,Flat,Exp,BBin,1.0,1.0,1.0,1.1106325121430838
1,2,3,50,100,1,GP0,Exp,Bin,1.0,1.0,1.0,1.1059594384097688
1,2,3,50,100,1,GP0,Exp,BBin,0.0,-1.2873200298016445e-15,0.7021831844254004,0.87228863480646
1,2,3,50,100,1,GP0,ExpQ,Bin,1.0,1.0,1.0,1.1068923655595755
1,2,3,50,100,1,GP0,ExpQ,BBin,0.0,-1.2873200298016445e-15,0.7021831844254004,0.8750315093717718
1,2,3,50,100,10,Flat,Exp,Bin,1.0,1.0,1.0,4.947476021281955
1,2,3,50,100,10,Flat,Exp,BBin,1.0,1.0,1.0,4.94214913928942
1,2,3,50,100,10,GP0,Exp,Bin,1.0,1.0,1.0,4.951224325840951
1,2,3,50,100,10,GP0,Exp,BBin,1.0,1.0,1.0,4.949327488177754
1,2,3,50,100,10,GP0,ExpQ,Bin,1.0,1.0,1.0,4.955785290323514
1,2,3,50,100,10,GP0,ExpQ,BBin,1.0,1.0,1.0,4.937417847022745
1,2,3,50,100,20,Flat,Exp,Bin,1.0,1.0,1.0,4.983125292149432
1,2,3,50,100,20,Flat,Exp,BBin,1.0,1.0,1.0,4.990199041555011
1,2,3,50,100,20,GP0,Exp,Bin,1.0,1.0,1.0,4.983450248493811
1,2,3,50,100,20,GP0,Exp,BBin,1.0,1.0,1.0,4.983433268855409
1,2,3,50,100,20,GP0,ExpQ,Bin,1.0,1.0,1.0,4.983255988405462
1,2,3,50,100,20,GP0,ExpQ,BBin,1.0,1.0,1.0,4.986711853500853
1,2,3,100,1,1,Flat,Exp,Bin,1.0,1.0,1.0,1.8585302573987228
1,2,3,100,1,1,Flat,Exp,BBin,1.0,1.0,1.0,1.8561470661020587
1,2,3,100,1,1,GP0,Exp,Bin,1.0,1.0,1.0,1.8540390549510408
1,2,3,100,1,1,GP0,Exp,BBin,1.0,1.0,1.0,1.8509612047808948
1,2,3,100,1,1,GP0,ExpQ,Bin,1.0,1.0,1.0,1.860488044268542
1,2,3,100,1,1,GP0,ExpQ,BBin,1.0,1.0,1.0,1.849153765065764
1,2,3,100,1,10,Flat,Exp,Bin,1.0,1.0,1.0,1.1519983398518319
1,2,3,100,1,10,Flat,Exp,BBin,1.0,1.0,1.0,1.1497992926022176
1,2,3,100,1,10,GP0,Exp,Bin,1.0,1.0,1.0,1.1523164138232105
1,2,3,100,1,10,GP0,Exp,BBin,1.0,1.0,1.0,1.1531351352246677
1,2,3,100,1,10,GP0,ExpQ,Bin,1.0,1.0,1.0,1.1516323640214838
1,2,3,100,1,10,GP0,ExpQ,BBin,0.0,5.721221854363007e-15,0.7150616276329833,1.085341939396859
1,2,3,100,1,20,Flat,Exp,Bin,1.0,1.0,1.0,2.1995021410947295
1,2,3,100,1,20,Flat,Exp,BBin,1.0,1.0,1.0,2.199880363284154
1,2,3,100,1,20,GP0,Exp,Bin,1.0,1.0,1.0,2.199764821687284
1,2,3,100,1,20,GP0,Exp,BBin,1.0,1.0,1.0,2.1992540202190387
1,2,3,100,1,20,GP0,ExpQ,Bin,1.0,1.0,1.0,2.2008918642859476
1,2,3,100,1,20,GP0,ExpQ,BBin,1.0,1.0,1.0,2.2021050560495703
1,2,3,100,10,1,Flat,Exp,Bin,1.0,1.0,1.0,1.5499264625987077
1,2,3,100,10,1,Flat,Exp,BBin,1.0,1.0,1.0,1.5463347391436073
1,2,3,100,10,1,GP0,Exp,Bin,1.0,1.0,1.0,1.5450226449570301
1,2,3,100,10,1,GP0,Exp,BBin,1.0,1.0,1.0,1.5491841023675479
1,2,3,100,10,1,GP0,ExpQ,Bin,1.0,1.0,1.0,1.5457496461578548
1,2,3,100,10,1,GP0,ExpQ,BBin,1.0,1.0,1.0,1.548310234292416
